"weight","contraceptive_any","contraceptive_modern","unmet_need","REGNAME","age","marst","edattain","chsurv","chborn","urban","activity","floor","walls","roof","water","electricity","toilet","religion","language","relate","fuelcook","ethnicity","literacy","tobacco","occupation"
1.129547,"1","1","0","Tonkolili","25-29","Never in union","Incomplete secondary","0-4","0-4","Rural","Worked","Finished","Rudimentary/Finished","Finished","Unprotected spring","No","Facility","Islam","Temne","Daughter","Wood-based","Temne","No","No","Sales"
1.129547,"0","0","0","Tonkolili","15-19","Never in union","Incomplete secondary","0-4","0-4","Rural","Did not work","Finished","Rudimentary/Finished","Finished","Unprotected spring","No","Facility","Islam","Temne","Daughter","Wood-based","Temne","No","No","Did not work"
1.129547,"0","0","1","Tonkolili","20-24","Never in union","Incomplete secondary","0-4","0-4","Rural","Worked","Finished","Rudimentary/Finished","Finished","Unprotected spring","No","Facility","Islam","Temne","Other","Wood-based","Temne","Yes","No","Sales"
1.129547,"1","1","0","Tonkolili","30-34","Never in union","Incomplete secondary","0-4","0-4","Rural","Worked","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Islam","Temne","Other","Unknown","Temne","No","No","Sales"
1.129547,"0","0","1","Tonkolili","45-49","Married","No education","0-4","0-4","Rural","Worked","Natural","Rudimentary/Finished","Finished","Protected well","No","Facility","Christian","Krio","Wife","Wood-based","Temne","No","No","Sales"
1.129547,"1","1","0","Tonkolili","20-24","Never in union","Incomplete secondary","0-4","0-4","Rural","Worked","Natural","Rudimentary/Finished","Finished","Protected well","No","Facility","Islam","Krio","Daughter","Wood-based","Temne","Yes","No","Sales"
1.129547,"0","0","0","Tonkolili","35-39","Married","No education","0-4","0-4","Rural","Worked","Natural","Rudimentary/Finished","Finished","Unprotected spring","No","Facility","Islam","Temne","Wife","Wood-based","Temne","No","Yes","Agricultural"
1.129547,"0","0","0","Tonkolili","30-34","Married","No education","5+","5+","Rural","Worked","Natural","Rudimentary/Finished","Other","Protected well","No","Facility","Islam","Krio","Wife","Wood-based","Temne","No","No","Agricultural"
1.129547,"0","0","1","Tonkolili","40-44","Married","No education","0-4","5+","Rural","Worked","Finished","Rudimentary/Finished","Rudimentary","Protected well","No","Facility","Islam","Temne","Wife","Wood-based","Temne","No","No","Agricultural"
1.129547,"1","1","0","Tonkolili","20-24","Married","No education","0-4","0-4","Rural","Worked","Finished","Rudimentary/Finished","Rudimentary","Protected well","No","Facility","Islam","Temne","In-law","Wood-based","Temne","No","No","Agricultural"
1.129547,"1","1","0","Tonkolili","15-19","Never in union","Complete primary","0-4","0-4","Rural","Worked","Finished","Rudimentary/Finished","Rudimentary","Protected well","No","Facility","Islam","Krio","Daughter","Wood-based","Temne","Yes","No","Sales"
1.129547,"0","0","0","Tonkolili","45-49","Married","No education","0-4","0-4","Rural","Worked","Finished","Rudimentary/Finished","Finished","Protected well","No","Facility","Islam","Temne","Head","Wood-based","Temne","No","Yes","Sales"
1.129547,"1","1","0","Tonkolili","30-34","Married","No education","0-4","0-4","Rural","Worked","Finished","Rudimentary/Finished","Finished","Protected well","No","Facility","Islam","Temne","Sister","Wood-based","Temne","No","No","Sales"
1.129547,"0","0","0","Tonkolili","45-49","Married","Higher than secondary","0-4","5+","Rural","Worked","Finished","Rudimentary/Finished","Finished","Surface water","No","Facility","Islam","Temne","Head","Wood-based","Temne","Yes","No","Professional/technical/managerial"
1.129547,"1","1","0","Tonkolili","15-19","Never in union","Incomplete secondary","0-4","0-4","Rural","Did not work","Finished","Rudimentary/Finished","Finished","Surface water","No","Facility","Islam","Temne","Daughter","Wood-based","Temne","Yes","No","Did not work"
1.129547,"1","1","0","Tonkolili","15-19","Never in union","Complete primary","0-4","0-4","Rural","Did not work","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Christian","Temne","Not related","Unknown","Temne","Yes","No","Did not work"
1.129547,"1","1","0","Tonkolili","35-39","Married","No education","0-4","0-4","Rural","Worked","Finished","Rudimentary/Finished","Finished","Unprotected spring","No","Facility","Islam","Temne","Wife","Wood-based","Temne","No","Yes","Agricultural"
1.129547,"0","0","0","Tonkolili","15-19","Never in union","Incomplete secondary","0-4","0-4","Rural","Worked","Finished","Rudimentary/Finished","Finished","Unprotected spring","No","Facility","Islam","Temne","In-law","Wood-based","Temne","Yes","No","Sales"
1.129547,"1","1","0","Tonkolili","35-39","Married","No education","0-4","0-4","Rural","Worked","Finished","Rudimentary/Finished","Rudimentary","Surface water","No","Facility","Islam","Temne","Wife","Wood-based","Temne","No","Yes","Agricultural"
1.129547,"0","0","1","Tonkolili","30-34","Married","No education","0-4","0-4","Rural","Worked","Finished","Rudimentary/Finished","Rudimentary","Protected well","No","Facility","Islam","Krio","Wife","Wood-based","Temne","No","No","Sales"
0.354708,"0","0","0","Falaba","45-49","Married","No education","0-4","0-4","Rural","Worked","Natural","Rudimentary/Finished","Finished","Public tap","No","Facility","Islam","Other","Wife","Wood-based","Koranko","No","No","Agricultural"
0.354708,"0","0","0","Falaba","30-34","Married","No education","0-4","5+","Rural","Worked","Natural","Rudimentary/Finished","Finished","Public tap","No","Facility","Islam","Other","Wife","Wood-based","Koranko","No","No","Agricultural"
0.354708,"0","0","0","Falaba","30-34","Married","No education","0-4","5+","Rural","Did not work","Natural","Rudimentary/Finished","Finished","Protected well","No","Facility","Islam","Other","Wife","Wood-based","Koranko","No","No","Did not work"
0.354708,"0","0","0","Falaba","35-39","Widowed","No education","5+","5+","Rural","Worked","Finished","Rudimentary/Finished","Finished","Protected well","No","Facility","Islam","Other","Head","Wood-based","Koranko","No","No","Agricultural"
0.354708,"0","0","0","Falaba","15-19","Married","Incomplete secondary","0-4","0-4","Rural","Worked","Finished","Rudimentary/Finished","Finished","Protected well","No","Facility","Islam","Limba","In-law","Wood-based","Limba","Yes","No","Sales"
0.354708,"0","0","0","Falaba","25-29","Married","No education","0-4","0-4","Rural","Worked","Natural","Natural","Finished","Public tap","No","Facility","Islam","Other","Wife","Wood-based","Koranko","No","No","Sales"
0.354708,"0","0","1","Falaba","20-24","Married","No education","0-4","0-4","Rural","Worked","Natural","Natural","Finished","Public tap","No","Facility","Islam","Other","Wife","Wood-based","Koranko","No","No","Agricultural"
0.354708,"0","0","0","Falaba","45-49","Married","No education","0-4","5+","Rural","Worked","Natural","Natural","Finished","Public tap","No","Facility","Islam","Other","In-law","Wood-based","Koranko","No","No","Agricultural"
0.354708,"0","0","1","Falaba","25-29","Never in union","No education","0-4","0-4","Rural","Did not work","Natural","Natural","Finished","Public tap","No","Facility","Islam","Other","Sister","Wood-based","Koranko","No","No","Did not work"
0.354708,"0","0","0","Falaba","25-29","Never in union","No education","0-4","0-4","Rural","Worked","Natural","Natural","Finished","Mechanical well","No","Facility","Islam","Other","Other","Wood-based","Koranko","No","No","Sales"
0.354708,"1","1","0","Falaba","25-29","Never in union","No education","0-4","0-4","Rural","Worked","Natural","Natural","Finished","Mechanical well","No","Facility","Islam","Other","Daughter","Wood-based","Koranko","No","No","Sales"
0.354708,"0","0","0","Falaba","35-39","Married","No education","0-4","0-4","Rural","Worked","Finished","Rudimentary/Finished","Finished","Public tap","No","Facility","Islam","Other","Wife","Wood-based","Koranko","No","No","Agricultural"
0.354708,"0","0","1","Falaba","25-29","Married","No education","5+","5+","Rural","Worked","Finished","Rudimentary/Finished","Finished","Mechanical well","No","Facility","Islam","Other","Other","Wood-based","Koranko","No","No","Skilled manual"
0.354708,"0","0","0","Falaba","45-49","Married","No education","0-4","0-4","Rural","Did not work","Finished","Natural","Natural","Public tap","No","Facility","Islam","Other","Wife","Wood-based","Koranko","No","No","Did not work"
0.354708,"0","0","1","Falaba","30-34","Married","No education","5+","5+","Rural","Worked","Natural","Rudimentary/Finished","Finished","Public tap","No","Facility","Islam","Other","Wife","Wood-based","Koranko","No","No","Sales"
0.354708,"0","0","0","Falaba","20-24","Married","Incomplete primary","0-4","0-4","Rural","Worked","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Islam","Other","Not related","Unknown","Kono","Yes","No","Sales"
0.354708,"0","0","0","Falaba","25-29","Married","Higher than secondary","0-4","0-4","Rural","Worked","Finished","Natural","Finished","Mechanical well","No","Facility","Islam","Other","Wife","Wood-based","Koranko","Yes","No","Agricultural"
0.354708,"0","0","0","Falaba","35-39","Married","No education","0-4","0-4","Rural","Worked","Natural","Natural","Finished","Public tap","No","Facility","Islam","Other","Wife","Wood-based","Koranko","No","No","Agricultural"
0.354708,"0","0","0","Falaba","20-24","Married","Incomplete secondary","0-4","0-4","Rural","Worked","Finished","Rudimentary/Finished","Finished","Protected well","No","Facility","Christian","Other","Wife","Wood-based","Koranko","Yes","No","Sales"
0.354708,"0","0","1","Falaba","35-39","Married","No education","5+","5+","Rural","Worked","Finished","Rudimentary/Finished","Finished","Mechanical well","Yes","Facility","Islam","Other","Head","Wood-based","Fullah","No","No","Skilled manual"
0.354708,"1","1","0","Falaba","15-19","Never in union","Incomplete secondary","0-4","0-4","Rural","Worked","Finished","Natural","Finished","Public tap","No","Facility","Islam","Other","Sister","Wood-based","Koranko","Yes","No","Sales"
0.354708,"1","1","0","Falaba","15-19","Never in union","Complete primary","0-4","0-4","Rural","Did not work","Finished","Natural","Finished","Public tap","No","Facility","Islam","Other","Sister","Wood-based","Other","Yes","No","Did not work"
0.354708,"0","0","0","Falaba","45-49","Married","No education","0-4","5+","Rural","Did not work","Finished","Rudimentary/Finished","Finished","Public tap","No","Facility","Islam","Other","Wife","Wood-based","Koranko","No","No","Did not work"
0.354708,"0","0","0","Falaba","25-29","Married","No education","0-4","0-4","Rural","Worked","Natural","Natural","Finished","Mechanical well","No","Facility","Islam","Other","Wife","Wood-based","Fullah","No","No","Skilled manual"
0.354708,"0","0","1","Falaba","20-24","Married","No education","0-4","0-4","Rural","Did not work","Natural","Rudimentary/Finished","Finished","Public tap","No","Facility","Islam","Other","Wife","Wood-based","Fullah","No","No","Did not work"
0.354708,"0","0","0","Falaba","25-29","Married","No education","0-4","5+","Rural","Worked","Natural","Rudimentary/Finished","Finished","Public tap","No","Facility","Islam","Other","Wife","Wood-based","Koranko","No","No","Agricultural"
0.354708,"0","0","0","Falaba","25-29","Married","No education","0-4","0-4","Rural","Did not work","Finished","Rudimentary/Finished","Finished","Public tap","No","Facility","Islam","Other","Wife","Wood-based","Mandingo","No","No","Did not work"
0.354708,"0","0","0","Falaba","40-44","Married","No education","0-4","0-4","Rural","Did not work","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Islam","Other","In-law","Unknown","Koranko","No","No","Did not work"
0.354708,"0","0","0","Falaba","35-39","Married","No education","0-4","0-4","Rural","Did not work","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Islam","Other","Other","Unknown","Koranko","No","No","Did not work"
0.354708,"0","0","0","Falaba","35-39","Married","No education","0-4","5+","Rural","Worked","Finished","Rudimentary/Finished","Finished","Mechanical well","No","Facility","Islam","Other","Wife","Wood-based","Koranko","No","No","Agricultural"
0.354708,"0","0","0","Falaba","15-19","Never in union","Incomplete secondary","0-4","0-4","Rural","Did not work","Natural","Natural","Natural","Public tap","No","Facility","Islam","Other","Daughter","Wood-based","Koranko","Yes","No","Did not work"
0.319839,"0","0","0","Falaba","25-29","Married","No education","0-4","0-4","Rural","Worked","Natural","Rudimentary/Finished","Finished","Surface water","No","Facility","Islam","Other","Sister","Wood-based","Koranko","No","No","Agricultural"
0.319839,"0","0","0","Falaba","20-24","Married","No education","0-4","0-4","Rural","Worked","Natural","Rudimentary/Finished","Finished","Surface water","No","Facility","Islam","Other","Sister","Wood-based","Koranko","No","No","Agricultural"
0.319839,"0","0","0","Falaba","35-39","Married","Incomplete primary","0-4","5+","Rural","Worked","Natural","Rudimentary/Finished","Natural","Surface water","No","No facility","Islam","Other","Wife","Wood-based","Koranko","No","No","Agricultural"
0.319839,"0","0","0","Falaba","35-39","Married","No education","0-4","0-4","Rural","Did not work","Natural","Natural","Finished","Surface water","No","Facility","Islam","Other","Wife","Wood-based","Koranko","No","No","Did not work"
0.319839,"0","0","0","Falaba","20-24","Married","No education","0-4","0-4","Rural","Worked","Natural","Rudimentary/Finished","Finished","Surface water","No","Facility","Islam","Other","In-law","Wood-based","Koranko","No","No","Agricultural"
0.319839,"0","0","0","Falaba","15-19","Married","No education","0-4","0-4","Rural","Worked","Natural","Rudimentary/Finished","Finished","Surface water","No","Facility","Islam","Other","Wife","Wood-based","Koranko","No","No","Agricultural"
0.319839,"0","0","1","Falaba","35-39","Married","No education","0-4","5+","Rural","Worked","Natural","Natural","Finished","Surface water","No","Facility","Islam","Other","Wife","Wood-based","Koranko","No","No","Agricultural"
0.319839,"0","0","0","Falaba","35-39","Married","No education","5+","5+","Rural","Worked","Natural","Rudimentary/Finished","Natural","Surface water","No","Facility","Islam","Other","Wife","Wood-based","Koranko","No","No","Agricultural"
0.319839,"0","0","0","Falaba","35-39","Married","No education","0-4","0-4","Rural","Worked","Natural","Natural","Finished","Surface water","No","Facility","Islam","Other","Head","Wood-based","Koranko","No","No","Agricultural"
0.319839,"0","0","0","Falaba","30-34","Married","No education","0-4","0-4","Rural","Worked","Natural","Natural","Finished","Surface water","No","Facility","Islam","Other","In-law","Wood-based","Koranko","No","No","Agricultural"
0.319839,"0","0","0","Falaba","45-49","Married","No education","0-4","5+","Rural","Did not work","Natural","Natural","Finished","Surface water","No","Facility","Islam","Other","Wife","Wood-based","Koranko","No","No","Did not work"
0.319839,"0","0","0","Falaba","35-39","Married","No education","0-4","0-4","Rural","Worked","Natural","Natural","Finished","Surface water","No","Facility","Islam","Other","Wife","Wood-based","Koranko","No","No","Agricultural"
0.319839,"1","1","0","Falaba","35-39","Married","No education","5+","5+","Rural","Worked","Natural","Natural","Finished","Surface water","No","No facility","Islam","Other","Wife","Wood-based","Koranko","No","No","Sales"
0.319839,"0","0","0","Falaba","30-34","Married","No education","5+","5+","Rural","Did not work","Natural","Natural","Finished","Surface water","No","No facility","Islam","Other","Wife","Wood-based","Koranko","No","No","Did not work"
0.319839,"0","0","0","Falaba","15-19","Never in union","Incomplete secondary","0-4","0-4","Rural","Did not work","Natural","Natural","Finished","Surface water","No","No facility","Islam","Other","Daughter","Wood-based","Koranko","Yes","No","Did not work"
0.319839,"0","0","0","Falaba","20-24","Married","No education","0-4","0-4","Rural","Worked","Natural","Natural","Finished","Surface water","No","No facility","Islam","Other","In-law","Wood-based","Koranko","No","No","Agricultural"
0.319839,"0","0","0","Falaba","20-24","Married","No education","0-4","0-4","Rural","Worked","Natural","Natural","Finished","Surface water","No","Facility","Islam","Other","Wife","Wood-based","Koranko","No","No","Agricultural"
0.319839,"0","0","0","Falaba","15-19","Never in union","Incomplete primary","0-4","0-4","Rural","Worked","Natural","Natural","Finished","Surface water","No","Facility","Islam","Other","Sister","Wood-based","Koranko","No","No","Agricultural"
0.319839,"0","0","0","Falaba","45-49","Married","No education","5+","5+","Rural","Did not work","Natural","Rudimentary/Finished","Natural","Surface water","No","Facility","Islam","Other","Head","Wood-based","Koranko","No","No","Did not work"
0.319839,"0","0","0","Falaba","40-44","Married","No education","0-4","0-4","Rural","Worked","Natural","Rudimentary/Finished","Finished","Surface water","No","Facility","Islam","Other","Wife","Wood-based","Koranko","No","No","Agricultural"
0.319839,"0","0","0","Falaba","20-24","Married","No education","0-4","0-4","Rural","Worked","Natural","Natural","Finished","Surface water","No","Facility","Islam","Other","In-law","Wood-based","Koranko","No","No","Agricultural"
0.319839,"0","0","0","Falaba","25-29","Married","No education","0-4","0-4","Rural","Worked","Natural","Rudimentary/Finished","Finished","Surface water","No","No facility","Islam","Other","Wife","Wood-based","Koranko","No","No","Agricultural"
0.319839,"0","0","0","Falaba","25-29","Married","No education","0-4","0-4","Rural","Worked","Natural","Rudimentary/Finished","Finished","Surface water","No","No facility","Islam","Other","Daughter","Wood-based","Koranko","No","No","Agricultural"
0.319839,"0","0","0","Falaba","35-39","Married","No education","5+","5+","Rural","Did not work","Finished","Rudimentary/Finished","Finished","Surface water","No","Facility","Islam","Other","Head","Wood-based","Koranko","No","No","Did not work"
0.319839,"0","0","0","Falaba","25-29","Married","No education","5+","5+","Rural","Worked","Natural","Rudimentary/Finished","Finished","Surface water","No","Facility","Islam","Other","Head","Wood-based","Koranko","No","No","Agricultural"
1.813684,"1","1","0","Western Area Urban","35-39","Married","Higher than secondary","0-4","0-4","Urban","Worked","Finished","Rudimentary/Finished","Finished","Public tap","Yes","Facility","Christian","Krio","Wife","Wood-based","Creole","Yes","No","Unskilled manual"
1.813684,"1","1","0","Western Area Urban","30-34","Separated","Higher than secondary","0-4","0-4","Urban","Worked","Finished","Rudimentary/Finished","Finished","Public tap","Yes","Facility","Christian","Other","Head","Petroleum-based","Sherbro","Yes","No","Professional/technical/managerial"
1.813684,"1","1","0","Western Area Urban","25-29","Never in union","Complete secondary","0-4","0-4","Urban","Worked","Finished","Rudimentary/Finished","Finished","Piped","Yes","Facility","Christian","Krio","Daughter","Wood-based","Creole","No","No","Professional/technical/managerial"
1.813684,"1","1","0","Western Area Urban","25-29","Married","Incomplete secondary","0-4","0-4","Urban","Worked","Finished","Rudimentary/Finished","Finished","Piped","Yes","Facility","Christian","Krio","In-law","Wood-based","Limba","No","No","Professional/technical/managerial"
1.813684,"0","0","0","Western Area Urban","35-39","Married","Higher than secondary","0-4","0-4","Urban","Did not work","Finished","Rudimentary/Finished","Finished","Piped","Yes","Facility","Christian","Krio","Wife","Wood-based","Creole","Yes","No","Did not work"
1.813684,"1","1","0","Western Area Urban","20-24","Married","Incomplete secondary","0-4","0-4","Urban","Did not work","Finished","Rudimentary/Finished","Finished","Piped","Yes","Facility","Christian","Krio","Wife","Wood-based","Limba","Yes","No","Did not work"
1.813684,"1","1","0","Western Area Urban","30-34","Married","Incomplete primary","0-4","0-4","Urban","Worked","Finished","Rudimentary/Finished","Finished","Piped","Yes","Facility","Christian","Krio","Wife","Wood-based","Temne","No","No","Skilled manual"
1.813684,"0","0","0","Western Area Urban","45-49","Married","Incomplete secondary","0-4","0-4","Urban","Worked","Finished","Rudimentary/Finished","Finished","Piped","Yes","Facility","Christian","Temne","Wife","Wood-based","Temne","Yes","No","Sales"
1.813684,"1","1","0","Western Area Urban","20-24","Never in union","Higher than secondary","0-4","0-4","Urban","Worked","Finished","Rudimentary/Finished","Finished","Piped","Yes","Facility","Islam","Krio","Daughter","Wood-based","Mandingo","Yes","No","Sales"
